food,1998,2004,2006,2008,education
Snap beans,3.09,3.1,3.37,3.44,college
"Legumes, dried",4.48,3.61,3.47,3.83,college
"Dairy, total",157.22,157.51,168.19,165.48,college
"Fluid milk, total3",101.12,97.47,103.55,101.11,college
"Fluid milk, 1-percent fat3",12.83,13.12,15.02,14.57,college
"Fluid milk, 2-percent fat3",32.03,28.39,30.98,28.37,college
"Fluid milk, skim3",23.18,22.03,19.71,23.26,college
"Fluid milk, whole3",22.23,21.32,23.82,20.01,college
Butter,2.04,2.39,2.56,2.55,college
Cheese,11.5,13.17,13.8,13.84,college
Yogurt,5.63,7.23,9.96,9.72,college
"Dairy, other",4.38,9.6,9.02,10.61,college
"Meat, poultry, and fish, total",85.88,92.88,92.42,94.37,college
"Meat, total",47.28,51.31,48.4,49.68,college
Beef,26.97,27.92,26.49,26.8,college
Pork,20.15,23.45,21.88,22.74,college
"Poultry, total",32.48,33.95,33.86,35.98,college
Chicken,25.14,25.91,26.99,27.88,college
Turkey,7.7,8.25,7.38,8.76,college
Finfish and shellfish,6.08,7.14,8.59,7.92,college
Eggs4,11.33,14.66,14.69,13.32,college
"Grains, total",97.57,89.94,88.81,96.9,college
Corn flour,6.84,7.84,7.31,8.82,college
Oat flour,3.03,2.92,3.01,3.22,college
"Rice, dried",8.36,8.82,9.49,9.75,college
Wheat flour,72.57,62.37,60.16,65.49,college
"Fat and oils, total",28.88,37.55,38.09,40.58,college
Margarine,4.39,2.41,2.04,2.16,college
Salad and cooking oils,11.02,14.74,16.67,20.36,college
Shortening,6.1,8.99,6.73,5.33,college
"Oils, other",0.26,0.94,1.15,1.08,college
Caloric sweeteners,50.6,54.49,51.6,51.83,college
"Nuts, total",6.67,10.47,9.98,11.25,college
Peanuts,4.69,6.43,6.81,6.87,college
Tree nuts,2.1,4.14,3.13,4.33,college
