food,1998,2004,2006,2008,gender
"Fluid milk, skim5",3.2,2.48,2.43,2.34,women
"Fluid milk, whole5",4.6,4.02,3.78,4.21,women
Butter,0.7,0.72,0.56,0.66,women
Cheese,5.62,7.09,6.93,7.26,women
Yogurt,0.65,0.66,0.48,0.81,women
"Dairy, other",1.81,3.68,3.95,3.49,women
"Meat, poultry, and fish, total",41.85,51.03,48.47,45.2,women
"Meat, total",20.41,23.88,22.04,20.33,women
Beef,12.56,15.32,14.45,13.21,women
Pork,7.27,7.89,7.14,6.58,women
"Poultry, total",16.97,23.32,23.45,21.03,women
Chicken,15.1,21.01,21.59,19.13,women
Turkey,1.8,2.19,1.49,1.6,women
Finfish and shellfish,4.04,3.8,3.23,3.51,women
Eggs6,4.74,5.36,5.69,4.62,women
"Grains, total",30.05,34.56,34.96,33.66,women
Corn flour,1.88,2.45,2.4,2.83,women
Oat flour,0.11,0.11,0.11,0.09,women
"Rice, dried",2.41,2.46,3.1,2.4,women
Wheat flour,24.62,28.07,27.71,26.89,women
"Fat and oils, total",15.43,23.49,21.97,22.62,women
Margarine,1.25,1,0.88,0.69,women
Salad and cooking oils,6.01,10.6,10.05,12.87,women
Shortening,3.86,6.89,5.6,3.93,women
"Oils, other",0.48,0.15,0.23,0.19,women
Caloric sweeteners,19.62,20.08,17.94,17.05,women
"Nuts, total",1.04,1.04,0.84,0.68,women
Peanuts,0.58,0.71,0.42,0.43,women
Tree nuts,0.53,0.33,0.4,0.25,women
